userId,Actual_Churn,Churn_Score,Random_Forest_Probability,Calibrated_Random_Forest_Probability,Naive_Bias_Probability,Isotonic_Calibrated_Naive_Bias_Probability,Sigmoid_Calibrated_Naive_Bias_Probability
0002C218-D30F-402E-AE08-1280AD4FB669,1.0,0.8321411137999104,0.7314838274420222,0.8743700119771055,0.584981443074011,0.6498044761285191,0.6582993229225201
00095350-9e64-4b34-9112-b9869703248b,1.0,0.9728893765979563,0.974087523931083,0.9838567492791341,0.6462142258346745,0.6845562506897332,0.7384154003879811
00095653-80f8-4fba-93d9-44ae70bb6263,1.0,0.769484660357454,0.9395722105831091,0.9781717455987001,0.430832363901149,0.39829851926420684,0.37065296806289294
0010E3BE-81BD-48A3-8282-8C8D0B1F9629,0.0,0.44481516871754323,0.355808062888741,0.30693466936301095,0.4680263940257334,0.4549244707353464,0.45206504097532896
0015a4a8-99f1-4119-9e10-0ac9773ae48a,1.0,0.913942366592158,0.9770353346191588,0.9839860126839075,0.5555814033214758,0.6503967500627138,0.5914590655442385
001C5296-292D-4290-A1AC-B5751EAC80C2,1.0,0.5766574103501472,0.5267966243111415,0.5131301386607564,0.491901803892793,0.5118180534698241,0.4736891664244589
0020c0ac-da8c-460c-91ce-b1b603456180,0.0,0.2148238911381896,0.02880811870689905,0.01410962695776222,0.4207733397302218,0.35627964055700817,0.3689234577741232
002447a6-b67d-433f-94d2-6da0eb6ccca1,0.0,0.09166830380037429,0.06000643901617285,0.022373135416293433,0.29225857430633806,0.07215916664694061,0.17231911133241257
00323c4d-7ec7-4ade-a2cd-326e3bc09ff3,0.0,0.08725114885598145,0.010783935237735567,0.012035100447503324,0.2708659590196829,0.1392056581309994,0.1846283340166449
00342b0b-3284-45ab-9ee2-75259ad2cf15,0.0,0.3598827942543859,0.15307183930152599,0.04836692403347701,0.5220903407360638,0.550783859449143,0.5221675642362954
0039f29a-99c7-465e-aff3-3147b1e6a320,1.0,0.8267666275572805,0.9446622960337923,0.9775836795877071,0.4779161141626291,0.5260180125901056,0.4492190431559986
